2013-12-22 16:26:14,669 [Worker-66] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.amilne.core:DynamicFlame:1.0-SNAPSHOT @ C:\wks\DynamicFlameWebsite\DynamicFlame\pom.xml.
2013-12-22 16:26:20,525 [Worker-67] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.amilne.core:DynamicFlame:1.0-SNAPSHOT @ C:\wks\DynamicFlameWebsite\DynamicFlame\pom.xml.
2013-12-22 16:26:21,516 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:26:21,551 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-22 16:26:21,559 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:26:21,570 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\wks\DynamicFlameWebsite\DynamicFlame\src\test\resources
2013-12-22 16:26:21,624 [Worker-66] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /DynamicFlame/src/main/java
2013-12-22 16:26:21,625 [Worker-66] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /DynamicFlame/src/main/resources overlaps with sources folder /DynamicFlame/src/main/resources
2013-12-22 16:26:21,650 [Worker-66] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /DynamicFlame/src/test/java
2013-12-22 16:26:22,755 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-12-22 16:26:22,779 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-12-22 16:26:22,787 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
